participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
9,001,23,f,r,memory_test,253,1,shaving_cream_05s,unseen,,,,no,0.8056437999475747,52,61
9,001,23,f,r,memory_test,254,2,lip_balm_08s,seen,yes,low,controlled,no,0.7754925000481308,51,62
9,001,23,f,r,memory_test,255,3,domino_02s,unseen,,,,no,0.6231531000230461,52,61
9,001,23,f,r,memory_test,256,4,icicle_12s,seen,no,low,uncontrolled,no,0.547462800052017,51,62
9,001,23,f,r,memory_test,257,5,crouton_12s,unseen,,,,no,0.6522064998280257,52,61
9,001,23,f,r,memory_test,258,6,hydrant_12s,seen,no,high,uncontrolled,no,0.6086842999793589,51,62
9,001,23,f,r,memory_test,259,7,breadstick_14s,seen,yes,low,controlled,yes,0.8442430000286549,51,61
9,001,23,f,r,memory_test,260,8,biscuit_09s,seen,yes,high,controlled,yes,0.5985592999495566,51,61
9,001,23,f,r,memory_test,261,9,handprint_12s,unseen,,,,no,0.5430222998838872,52,61
9,001,23,f,r,memory_test,262,10,cork_10s,seen,no,high,uncontrolled,yes,0.666909100022167,51,61
9,001,23,f,r,memory_test,263,11,tattoo_04s,seen,no,low,uncontrolled,no,0.5342940997797996,51,62
9,001,23,f,r,memory_test,264,12,chaps_14s,seen,no,high,uncontrolled,yes,0.6572316000238061,51,61
9,001,23,f,r,memory_test,265,13,battery_10s,unseen,,,,no,0.6393320001661777,52,61
9,001,23,f,r,memory_test,266,14,harness_03s,unseen,,,,no,0.6874502999708056,52,61
9,001,23,f,r,memory_test,267,15,screw_05s,unseen,,,,no,0.9625464999116957,52,61
9,001,23,f,r,memory_test,268,16,ham_05s,seen,yes,high,controlled,no,0.6453369001392275,51,62
9,001,23,f,r,memory_test,269,17,parfait_17s,seen,no,high,uncontrolled,no,0.8990683001466095,51,62
9,001,23,f,r,memory_test,270,18,locker_12s,unseen,,,,no,0.6947653000243008,52,61
9,001,23,f,r,memory_test,271,19,shorts_12s,unseen,,,,no,0.6714633998926729,52,61
9,001,23,f,r,memory_test,272,20,cream_cheese_05s,unseen,,,,no,0.549541600048542,52,61
9,001,23,f,r,memory_test,273,21,metal_detector_04s,unseen,,,,no,0.7022975001018494,52,61
9,001,23,f,r,memory_test,274,22,pomegranate_11n,seen,no,high,uncontrolled,yes,0.712680600117892,51,61
9,001,23,f,r,memory_test,275,23,bandanna_10s,unseen,,,,no,0.6394386000465602,52,61
9,001,23,f,r,memory_test,276,24,nest_01b,unseen,,,,no,0.7766429998446256,52,61
9,001,23,f,r,memory_test,277,25,pepper2_08s,unseen,,,,no,0.5620800999458879,52,61
9,001,23,f,r,memory_test,278,26,gavel_02s,unseen,,,,no,0.5954495000187308,52,61
9,001,23,f,r,memory_test,279,27,t-shirt_06s,seen,yes,high,controlled,yes,0.6609441998880357,51,61
9,001,23,f,r,memory_test,280,28,yarn_10s,seen,yes,high,controlled,no,0.8075397999491543,51,62
9,001,23,f,r,memory_test,281,29,match_07s,unseen,,,,no,0.5541272000409663,52,61
9,001,23,f,r,memory_test,282,30,microscope_14n,unseen,,,,no,0.631454800022766,52,61
9,001,23,f,r,memory_test,283,31,exerciser_05s,seen,no,low,uncontrolled,yes,0.894619399914518,51,61
9,001,23,f,r,memory_test,284,32,mop_01b,unseen,,,,no,0.6371092000044882,52,61
9,001,23,f,r,memory_test,285,33,mannequin_03s,unseen,,,,no,0.6134526000823826,52,61
9,001,23,f,r,memory_test,286,34,mosquito_net_02s,seen,no,low,uncontrolled,yes,0.6943671000190079,51,61
9,001,23,f,r,memory_test,287,35,sequin_08s,seen,no,high,uncontrolled,yes,0.6788701000623405,51,61
