participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
99,001,26,f,r,memory_test,173,102,filing_cabinet_09s,seen,yes,yes,0.8422889999928884,51,61
99,001,26,f,r,memory_test,174,103,breadstick_14s,seen,no,no,1.8073779999976978,51,62
99,001,26,f,r,memory_test,175,104,cheesecake_13s,seen,no,yes,1.3129797999863513,51,61
99,001,26,f,r,memory_test,176,105,washing_machine_08s,seen,yes,yes,1.6054312999476679,51,61
99,001,26,f,r,memory_test,177,106,barrette_09s,seen,no,yes,1.112336200021673,51,61
99,001,26,f,r,memory_test,178,107,puppy_07s,unseen,,no,0.5966138999792747,52,61
99,001,26,f,r,memory_test,179,108,toad_06s,seen,no,no,0.9847620000364259,51,62
99,001,26,f,r,memory_test,180,109,figurine_11s,unseen,,yes,1.284573300043121,52,62
99,001,26,f,r,memory_test,181,110,breadstick_02s,unseen,,no,1.6911943000159226,52,61
99,001,26,f,r,memory_test,182,111,ginger_03s,seen,yes,no,1.2402227999991737,51,62
99,001,26,f,r,memory_test,183,112,bracelet1_05s,unseen,,yes,2.0162511000526138,52,62
99,001,26,f,r,memory_test,184,113,beanbag_16s,unseen,,yes,1.056808200024534,52,62
99,001,26,f,r,memory_test,185,114,headset_03s,seen,no,yes,1.7828712000045925,51,61
99,001,26,f,r,memory_test,186,115,cigarette_09s,unseen,,no,1.5208545999485068,52,61
99,001,26,f,r,memory_test,187,116,waffle_iron_14s,unseen,,yes,3.523505399993155,52,62
99,001,26,f,r,memory_test,188,117,suit_14s,unseen,,yes,2.118868299992755,52,62
99,001,26,f,r,memory_test,189,118,ham_11s,seen,no,yes,1.890999399998691,51,61
99,001,26,f,r,memory_test,190,119,fingerprint_02s,unseen,,yes,2.8639411000185646,52,62
99,001,26,f,r,memory_test,191,120,beanbag_13s,seen,yes,yes,3.1254292000085115,51,61
