thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,9,001,23,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,2.3831390999257565,False,square,square,0.9585022178944526,0.9159376222833086,163.95283438871223,53.99938417665768,855,[np.int64(198)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,9,001,23,f,r,,,,,,,
,,2,9,001,23,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,0,False,3.348988600075245,False,dot,square,0.8159747285924219,6.203114714408711,1122.7637633079767,206.279709674817,1274,[np.int64(641)],-0.05001588787199827,3.2319921310993145,2.0487151302990343,0.026606840000665752,0.021650718437986983,,,,,,,,,,9,001,23,f,r,,,,,,,
,,3,9,001,23,f,r,calibration,0.55,2,0,3,0.47090191089840744,-0.11652402308997703,1,False,1.1811631000600755,False,square,square,0.801903934669203,11.190351168526727,2025.4535615033374,168.48494461695324,1497,[np.int64(417)],-0.20878316709790282,3.2302369707761205,2.048860779443661,0.02629789449460237,0.021592525363363452,,,,,,,,,,9,001,23,f,r,,,,,,,
,,4,9,001,23,f,r,calibration,0.55,2,0,4,0.47090191089840744,-0.11652402308997703,1,False,1.264951900113374,False,dot,dot,0.7742282086442988,4.242367397033054,767.8684988629827,113.77277796971741,1074,[np.int64(1043)],-0.3560640950152753,3.245019252845922,2.0559048756982485,0.025963393579561674,0.021525766940242764,,,,,,,,,,9,001,23,f,r,,,,,,,
,,5,9,001,23,f,r,calibration,0.55,2,0,5,0.5350820483873121,0.14055915473515587,0,False,0.7976766000501812,False,dot,square,0.7430063040959145,10.680896691720298,1933.2423012013737,190.71591114583077,797,[np.int64(616)],0.19634073782227782,3.0390402162955072,1.9612267305684299,0.027847430113229495,0.021823707217192758,,,,,,,,,,9,001,23,f,r,,,,,,,
,,6,9,001,23,f,r,calibration,0.55,2,0,6,0.5350820483873121,0.14055915473515587,1,False,1.6689488999545574,False,square,square,0.7322216093877713,3.384179614269878,612.5365101828479,22.616683508917077,1377,[np.int64(605)],0.05990761158582174,3.0361371960086605,1.9603226187596563,0.027532500813034343,0.021777550282429767,,,,,,,,,,9,001,23,f,r,,,,,,,
,,7,9,001,23,f,r,calibration,0.55,2,0,7,0.5350820483873121,0.14055915473515587,1,False,1.118939699837938,False,dot,dot,0.7110643878849161,10.22792654517045,1851.2547046758514,127.18464771911655,1501,[np.int64(539)],-0.0678958861998345,3.048743326753458,1.9669249712216677,0.027194491624097455,0.021724232937411,,,,,,,,,,9,001,23,f,r,,,,,,,
,,8,9,001,23,f,r,calibration,0.55,2,0,8,0.5350820483873121,0.14055915473515587,1,False,0.9800937999971211,False,dot,dot,0.6832189817860093,8.306490937268086,1503.4748596455233,118.92008463871205,741,[np.int64(1455)],-0.18324223701046502,3.0751628484081355,1.9800117479145223,0.02683679619904243,0.02166354493748011,,,,,,,,,,9,001,23,f,r,,,,,,,
,,9,9,001,23,f,r,calibration,0.55,2,0,9,0.5350820483873121,0.14055915473515587,1,False,1.5680045001208782,False,square,square,0.6526818362080367,16.118665504703717,2917.478456351373,137.08946938392197,706,[np.int64(1438)],-0.28433971531244184,3.1133942757217676,1.9982734490842269,0.026463012653359687,0.021595430751742185,,,,,,,,,,9,001,23,f,r,,,,,,,
,,10,9,001,23,f,r,calibration,0.55,2,0,10,0.5350820483873121,0.14055915473515587,1,False,1.5699978000484407,False,dot,dot,0.6228407672265502,10.557681804815594,1910.9404066716227,90.71531284133155,1183,[np.int64(35)],-0.3711664642433228,3.1613659483556233,2.0203260967482954,0.026076600929207612,0.021519953843511685,,,,,,,,,,9,001,23,f,r,,,,,,,
