thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,8,001,28,f,r,calibration,0.85,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,2.996426400030032,False,square,square,0.8833941500202273,15.45588473517999,2766.6033675972185,182.19907421111185,1080,[np.int64(1094)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,8,001,28,f,r,,,,,,,
,,2,8,001,28,f,r,calibration,0.85,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,0.8338315000291914,False,square,square,0.8974722567509856,14.760796769593027,2671.7042152963377,185.9137107759428,572,[np.int64(1042)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,8,001,28,f,r,,,,,,,
,,3,8,001,28,f,r,calibration,0.85,2,-1,3,0.5350820483873121,0.14055915473515587,0,False,1.5655006000306457,False,dot,square,0.740702350112224,7.84646369621201,1420.2099290143738,145.1404014447874,1151,[np.int64(976)],0.7752517326412891,3.2235786499692125,2.0451617349383113,0.02619226944093072,0.021574301459289062,,,,,,,,,,8,001,28,f,r,,,,,,,
,,4,8,001,28,f,r,calibration,0.85,2,-1,4,0.6580745541515514,0.654725510385422,1,False,0.9035495999269187,False,square,square,0.7397423584914392,16.82245986866956,3044.8652362291905,150.3057771948242,359,[np.int64(821)],0.6297406971557854,3.2142404198883767,2.0426093048376748,0.02589782640406036,0.02151475624523756,,,,,,,,,,8,001,28,f,r,,,,,,,
,,5,8,001,28,f,r,calibration,0.85,2,-1,5,0.6580745541515514,0.654725510385422,1,False,0.8822210999205709,False,square,square,0.7235592940430066,16.775716191247703,3036.4046306158343,176.76253549486322,906,[np.int64(753)],0.49091630787068,3.2226024820593597,2.0475759197757126,0.025577753125668908,0.021446575556066758,,,,,,,,,,8,001,28,f,r,,,,,,,
,,6,8,001,28,f,r,calibration,0.85,2,-1,6,0.6580745541515514,0.654725510385422,1,False,0.6499570999294519,False,dot,dot,0.6963423673395278,18.709347734554644,3386.3919399543906,201.50974737840366,343,[np.int64(1245)],0.36471537494103495,3.2468463707834427,2.0591453546820264,0.02523578713096422,0.02136974955243413,,,,,,,,,,8,001,28,f,r,,,,,,,
,,7,8,001,28,f,r,calibration,0.85,2,-1,7,0.6580745541515514,0.654725510385422,1,False,0.9165304999332875,False,dot,dot,0.6634030669294354,16.832775138327293,3046.73230003724,237.64025487875088,148,[np.int64(735)],0.25440974621366214,3.2846184320472283,2.0759874565405747,0.02487611202769755,0.021284493184194776,,,,,,,,,,8,001,28,f,r,,,,,,,
,,8,8,001,28,f,r,calibration,0.85,2,-1,8,0.6580745541515514,0.654725510385422,1,False,0.984972900012508,False,square,square,0.62964601953371,10.41220999493605,1884.6100090834252,191.89521886814592,35,[np.int64(819)],0.16067953272214122,3.3333975985599444,2.0966363084443382,0.024502836123940344,0.021191166959422195,,,,,,,,,,8,001,28,f,r,,,,,,,
,,9,8,001,28,f,r,calibration,0.85,2,-1,9,0.5981210736084265,0.3976423325602886,1,False,0.9699439997784793,False,dot,dot,0.6057307313063602,13.0260163302367,2357.7089557728427,196.1278921828573,1167,[np.int64(1352)],0.06633631713970009,3.3697144956955376,2.1126357478071935,0.024155092542896377,0.021099853350541608,,,,,,,,,,8,001,28,f,r,,,,,,,
,,10,8,001,28,f,r,calibration,0.85,2,-1,10,0.5350820483873121,0.14055915473515587,1,False,1.1185616999864578,False,square,square,0.5934827255773455,16.1349814431393,2920.4316412082135,215.48218187689295,1130,[np.int64(1154)],-0.03055683672586283,3.3801099573098004,2.116532091160157,0.023839441551333565,0.021013313267129054,,,,,,,,,,8,001,28,f,r,,,,,,,
,,11,8,001,28,f,r,calibration,0.85,2,-1,11,0.47090191089840744,-0.11652402308997703,1,False,0.7039421000517905,False,dot,dot,0.5928926888094622,7.883918547147895,1426.989257033769,317.8493265301817,321,[np.int64(918)],nan,nan,nan,nan,nan,,,,,,,,,,8,001,28,f,r,,,,,,,
