thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,7,001,25,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,1.699829600052908,False,square,square,0.9585022178944526,8.91668217514964,1596.0861093517856,140.04461055611725,155,[np.int64(194)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,7,001,25,f,r,,,,,,,
,,2,7,001,25,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,0,False,2.333266699919477,False,dot,square,0.8159747285924219,3.5743742648715986,646.9617419417593,143.6758298048259,1478,[np.int64(1277)],-0.05001588787199827,3.2319921310993145,2.0487151302990343,0.026606840000665752,0.021650718437986983,,,,,,,,,,7,001,25,f,r,,,,,,,
,,3,7,001,25,f,r,calibration,0.55,2,0,3,0.47090191089840744,-0.11652402308997703,1,False,2.4974077000515535,False,dot,dot,0.801903934669203,2.767475559746486,500.913076314114,37.82841985410803,852,[np.int64(402)],-0.20878316709790282,3.2302369707761205,2.048860779443661,0.02629789449460237,0.021592525363363452,,,,,,,,,,7,001,25,f,r,,,,,,,
,,4,7,001,25,f,r,calibration,0.55,2,0,4,0.47090191089840744,-0.11652402308997703,1,False,3.8168021000456065,False,dot,dot,0.7742282086442988,7.021338815180636,1270.862325547695,146.44606864340514,334,[np.int64(163)],-0.3560640950152753,3.245019252845922,2.0559048756982485,0.025963393579561674,0.021525766940242764,,,,,,,,,,7,001,25,f,r,,,,,,,
,,5,7,001,25,f,r,calibration,0.55,2,0,5,0.5350820483873121,0.14055915473515587,0,False,2.5650391000090167,False,square,dot,0.7430063040959145,7.527180561083538,1362.4196815561204,145.72886482220238,1340,[np.int64(206)],0.19634073782227782,3.0390402162955072,1.9612267305684299,0.027847430113229495,0.021823707217192758,,,,,,,,,,7,001,25,f,r,,,,,,,
,,6,7,001,25,f,r,calibration,0.55,2,0,6,0.5350820483873121,0.14055915473515587,0,False,1.6684387000277638,False,dot,square,0.6425804091784628,7.286219113431959,1318.8056595311846,144.26790819774942,644,[np.int64(295)],0.5595888347233338,3.046769399298177,1.963610939688559,0.028685917599096902,0.02192407987174602,,,,,,,,,,7,001,25,f,r,,,,,,,
,,7,7,001,25,f,r,calibration,0.55,2,0,7,0.6580745541515514,0.654725510385422,1,False,2.4701899000210688,False,square,square,0.6280753097269268,6.569211115014437,1189.027211817613,139.0590450970174,1095,[np.int64(74)],0.4531155545930897,3.0606670283546786,1.9710402992359106,0.02834089165330613,0.021882968739650052,,,,,,,,,,7,001,25,f,r,,,,,,,
,,8,7,001,25,f,r,calibration,0.55,2,0,8,0.6580745541515514,0.654725510385422,1,False,1.600099900038913,False,square,square,0.608102948310975,4.697687472779265,850.2814325730469,74.13743328421448,1039,[np.int64(1189)],0.35581547519469453,3.088066508848788,1.9849539893725126,0.027977882693982513,0.0218353667469005,,,,,,,,,,7,001,25,f,r,,,,,,,
,,9,7,001,25,f,r,calibration,0.55,2,0,9,0.6580745541515514,0.654725510385422,0,False,1.4834966999478638,False,dot,square,0.5730219167989297,4.196799623872615,759.6207319209434,76.12901688854767,679,[np.int64(1497)],0.7007834586568609,2.9326112365267343,1.8989702911581043,0.029481451816940223,0.021985839422067718,,,,,,,,,,7,001,25,f,r,,,,,,,
,,10,7,001,25,f,r,calibration,0.55,2,0,10,0.7133701336716126,0.9118086882105548,1,False,1.847526800003834,False,square,square,0.5563043404871918,11.986724173578379,2169.5970754176865,230.82987828144394,1440,[np.int64(278)],0.6174205501525547,2.9619072393593817,1.9150959198502002,0.02911265208685772,0.021951431713177254,,,,,,,,,,7,001,25,f,r,,,,,,,
