thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,10,001,40,f,r,calibration,0.85,2,-1,1,0.5981210736084265,0.3976423325602886,0,False,2.25047850003466,False,square,dot,0.654092755602765,7.497395932400457,1342.0338718996818,93.26269732561394,1031,[np.int64(1322)],1.0815502173013654,3.313240779626975,2.078503103658157,0.026570902445533742,0.02164797948506074,,,,,,,,,,10,001,40,f,r,,,,,,,
,,2,10,001,40,f,r,calibration,0.85,2,-1,2,0.7133701336716126,0.9118086882105548,1,False,2.300705899950117,False,dot,dot,0.6695519363887371,5.456763911258123,987.6742679377203,36.823842951539255,672,[np.int64(475)],0.9575080562802529,3.28771775599253,2.0686832305155027,0.026290639852488865,0.021595043137014422,,,,,,,,,,10,001,40,f,r,,,,,,,
,,3,10,001,40,f,r,calibration,0.85,2,-1,3,0.7133701336716126,0.9118086882105548,1,False,1.8971062002237886,False,square,square,0.6725768833887024,12.707725549794143,2300.09832451274,152.2018611802305,130,[np.int64(1242)],0.8335128676146436,3.280685853566952,2.066663016676092,0.025985435837291466,0.02153427789748866,,,,,,,,,,10,001,40,f,r,,,,,,,
,,4,10,001,40,f,r,calibration,0.85,2,-1,4,0.6580745541515514,0.654725510385422,1,False,2.637366799870506,False,square,square,0.6788397157248481,1.180954580090869,213.75277899644726,9.68597456103322,105,[np.int64(1511)],0.7084641412906613,3.2592159937993554,2.0583865740671308,0.025706154610057964,0.021475911784737248,,,,,,,,,,10,001,40,f,r,,,,,,,
,,5,10,001,40,f,r,calibration,0.85,2,-1,5,0.6580745541515514,0.654725510385422,0,False,1.3886617999523878,False,dot,square,0.5741282511792642,8.844330917917077,1600.8238961429909,56.52792511155336,624,[np.int64(769)],1.0344847502697367,3.2701918200519415,2.060379006578252,0.02650972181437279,0.02163054934770731,,,,,,,,,,10,001,40,f,r,,,,,,,
,,6,10,001,40,f,r,calibration,0.85,2,-1,6,0.7629446568996856,1.1688918660356877,1,False,1.5659316000528634,False,dot,dot,0.5617538794178145,8.873634223284455,1606.1277944144863,71.18798020007631,372,[np.int64(798)],0.9410424593089763,3.290996423814441,2.0702426876378817,0.026166208754984308,0.021564413275627213,,,,,,,,,,10,001,40,f,r,,,,,,,
,,7,10,001,40,f,r,calibration,0.85,2,-1,7,0.7629446568996856,1.1688918660356877,1,False,1.3166652000509202,False,dot,dot,0.5440538925127993,8.02241498015134,1452.0571114073925,69.39636755171746,401,[np.int64(746)],0.8562876625030846,3.3261631735575405,2.0861480308568208,0.02580700242792746,0.02149087666736071,,,,,,,,,,10,001,40,f,r,,,,,,,
,,8,10,001,40,f,r,calibration,0.85,2,-1,8,0.7629446568996856,1.1688918660356877,1,False,1.2051137001253664,False,dot,dot,0.5238647620862088,10.362240970688937,1875.5656156946977,96.53677723310344,662,[np.int64(37)],0.7813575812870738,3.3735267251685235,2.1067069996623475,0.02543505943622868,0.021409996874260984,,,,,,,,,,10,001,40,f,r,,,,,,,
,,9,10,001,40,f,r,calibration,0.85,2,-1,9,0.7133701336716126,0.9118086882105548,1,False,1.1209232998080552,False,dot,dot,0.5104654219521252,6.115039660358853,1106.8221785249525,53.21856871400196,330,[np.int64(797)],0.7033191723793821,3.40146943182182,2.1202514632550478,0.025096089497482217,0.021332175907746703,,,,,,,,,,10,001,40,f,r,,,,,,,
,,10,10,001,40,f,r,calibration,0.85,2,-1,10,0.7133701336716126,0.9118086882105548,1,False,1.6339037001598626,False,dot,dot,0.495970037464586,13.407536660935993,2426.764135629415,143.68268766112413,1019,[np.int64(86)],0.6326363872512744,3.4422460981844716,2.138956944525691,0.024744763998421855,0.02124724297833647,,,,,,,,,,10,001,40,f,r,,,,,,,
