thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,11,001,27,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,2.64882960007526,False,square,square,0.9585022178944526,3.6657462565077967,656.1685799148956,137.40667952154217,1395,[np.int64(1463)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,11,001,27,f,r,,,,,,,
,,2,11,001,27,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,1.6827334000263363,False,square,square,0.9261401199953351,13.645076004919776,2469.7587568904796,485.27763316793624,1483,[np.int64(951)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,11,001,27,f,r,,,,,,,
,,3,11,001,27,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,1.7119835999328643,False,dot,dot,0.8644614427153365,7.696638861385024,1393.0916339106893,311.5016108498185,186,[np.int64(219)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,11,001,27,f,r,,,,,,,
,,4,11,001,27,f,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,0,False,3.3365412999410182,False,dot,square,0.8225300360958131,3.2801462449471304,593.7064703354306,433.3009177596343,597,[np.int64(1360)],-0.36287772779013494,3.149466696154884,2.0121994982864884,0.026505088545560926,0.021620597020651666,,,,,,,,,,11,001,27,f,r,,,,,,,
,,5,11,001,27,f,r,calibration,0.55,2,0,5,0.47090191089840744,-0.11652402308997703,0,False,1.1161701001692563,False,dot,square,0.7484589151315905,2.1730401796201835,393.3202725112532,365.4026753053863,1273,[np.int64(1096)],0.16054186730481848,3.0542488571218307,1.9664362742312285,0.027809767463272655,0.021821024667857476,,,,,,,,,,11,001,27,f,r,,,,,,,
,,6,11,001,27,f,r,calibration,0.55,2,0,6,0.5350820483873121,0.14055915473515587,1,False,1.0817474001087248,False,square,square,0.7340235087713677,12.693716181614752,2297.56262887227,218.82994005917845,356,[np.int64(75)],0.02347202539399597,3.0556369980856055,1.967646388596036,0.027488203306053532,0.02177344493294584,,,,,,,,,,11,001,27,f,r,,,,,,,
,,7,11,001,27,f,r,calibration,0.55,2,0,7,0.5350820483873121,0.14055915473515587,1,False,0.8173064000438899,False,square,square,0.709645405123509,16.083745388542035,2911.157915326108,224.6442962396246,1292,[np.int64(1550)],-0.10342679319837023,3.0721785366570127,1.9760270315731883,0.027144008422445125,0.021718594060955526,,,,,,,,,,11,001,27,f,r,,,,,,,
,,8,11,001,27,f,r,calibration,0.55,2,0,8,0.5350820483873121,0.14055915473515587,1,False,1.0211471000220627,False,dot,dot,0.6793835946266792,14.417976101692831,2609.6536744064024,211.6067872944742,902,[np.int64(562)],-0.21673011232332137,3.1020310927612993,1.9904532473301617,0.02678076806855036,0.021656302906736865,,,,,,,,,,11,001,27,f,r,,,,,,,
,,9,11,001,27,f,r,calibration,0.55,2,0,9,0.5350820483873121,0.14055915473515587,1,False,0.6199759999290109,False,square,square,0.6473302633594374,15.555788935232401,2815.5977972770647,178.4883308933239,276,[np.int64(1011)],-0.31513712251687037,3.143108909264696,2.0095750823855787,0.026402170677260417,0.02158655227538263,,,,,,,,,,11,001,27,f,r,,,,,,,
,,10,11,001,27,f,r,calibration,0.55,2,0,10,0.47090191089840744,-0.11652402308997703,1,False,0.9371879000682384,False,dot,dot,0.6243345226207629,10.268399300499388,1858.5802733903893,253.56082964251235,1178,[np.int64(518)],-0.4142463772122957,3.1713635134318006,2.0230876191640323,0.026048981908512556,0.021517118158202536,,,,,,,,,,11,001,27,f,r,,,,,,,
