participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
7,001,25,f,r,memory_test,261,1,pretzel_02s,seen,no,high,uncontrolled,yes,0.7755654999054968,51,61
7,001,25,f,r,memory_test,262,2,paint_10s,unseen,,,,no,0.6856715000467375,52,61
7,001,25,f,r,memory_test,263,3,pasta_06s,unseen,,,,no,0.5834993000607938,52,61
7,001,25,f,r,memory_test,264,4,jumpsuit_07s,unseen,,,,no,0.6618583999807015,52,61
7,001,25,f,r,memory_test,265,5,pants_03s,seen,no,high,uncontrolled,no,0.7431675000116229,51,62
7,001,25,f,r,memory_test,266,6,footbath_12s,seen,no,high,uncontrolled,yes,0.6671307000797242,51,61
7,001,25,f,r,memory_test,267,7,footprint_11s,unseen,,,,no,0.7565128999995068,52,61
7,001,25,f,r,memory_test,268,8,crouton_07s,seen,yes,high,controlled,no,0.9700871000532061,51,62
7,001,25,f,r,memory_test,269,9,donut_15s,seen,yes,low,controlled,no,0.7703431999543682,51,62
7,001,25,f,r,memory_test,270,10,fingerprint_12s,seen,yes,low,controlled,yes,1.1498995000729337,51,61
7,001,25,f,r,memory_test,271,11,clipper2_05s,unseen,,,,no,0.7194559000199661,52,61
7,001,25,f,r,memory_test,272,12,wetsuit_01b,seen,no,low,uncontrolled,no,1.0274818999459967,51,62
7,001,25,f,r,memory_test,273,13,dishrag_08s,seen,no,low,uncontrolled,no,0.7594676999142393,51,62
7,001,25,f,r,memory_test,274,14,noisemaker_06s,seen,no,low,uncontrolled,no,0.806615800014697,51,62
7,001,25,f,r,memory_test,275,15,undershirt_12s,seen,yes,low,controlled,yes,0.9735825000097975,51,61
7,001,25,f,r,memory_test,276,16,doorstop_09s,unseen,,,,no,1.1171769999200478,52,61
7,001,25,f,r,memory_test,277,17,lollipop_06n,unseen,,,,no,0.9043014000635594,52,61
7,001,25,f,r,memory_test,278,18,flan_08s,unseen,,,,no,1.3245495000155643,52,61
7,001,25,f,r,memory_test,279,19,lipstick_04s,unseen,,,,no,1.3667149000102654,52,61
7,001,25,f,r,memory_test,280,20,quiche_07s,seen,yes,low,controlled,yes,1.1897301999852061,51,61
