thisRow.t,notes,trial_num,participant,session,phase,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,participant,session,
,,1,,001,calibration,1,0.5,1,False,3.555982000019867,True,dot,dot,0,0,1,0,0.5,9.649341558735175,2084.257776686798,179.92807607207158,,001,
,,2,,001,calibration,2,0.5,0,False,4.0711919000023045,True,dot,square,0,0,0,0,0.55,11.210591644732293,2757.805544604144,266.69513142246143,,001,
,,3,,001,calibration,3,0.55,0,False,4.886060999997426,True,dot,square,0,0,0,0,0.6000000000000001,9.871633161525004,2912.131782649876,196.65707026376208,,001,
,,4,,001,calibration,4,0.6000000000000001,1,False,3.271270400029607,True,square,square,0,0,1,0,0.6000000000000001,15.359259690168466,3041.1334186533563,203.99892998722044,,001,
,,5,,001,calibration,5,0.6000000000000001,nan,True,nan,False,dot,timeout,0,0,1,0,0.6000000000000001,12.037315332050419,3635.2692302792266,213.3057574394134,,001,
,,6,,001,calibration,6,0.6000000000000001,0,False,3.6214559000218287,True,dot,square,0,0,0,0,0.6500000000000001,16.91397925669617,3704.161457216461,228.78509599636502,,001,
,,7,,001,calibration,7,0.6500000000000001,0,False,1.8686730999615975,True,square,dot,0,0,0,0,0.7000000000000002,16.142078912750605,1791.7707593153173,215.5344378401933,,001,
,,8,,001,calibration,8,0.7000000000000002,1,False,1.2348958000075072,True,square,square,0,0,1,0,0.7000000000000002,17.4091106976122,1323.0924130185272,188.46482908101032,,001,
,,9,,001,calibration,9,0.7000000000000002,1,False,3.9385941000073217,True,square,square,0,0,2,0,0.7000000000000002,15.374275403483376,3659.0775460290433,200.15611746253487,,001,
