thisRow.t,notes,trial_num,participant,session,phase,complexity,prop_used,control_level,accuracy,rt_choice,agency_rating,early_response,true_shape,resp_shape,target_snippet_id,distractor_snippet_id,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,staircase_prop,staircase_direction,participant,session,
,,1,,001,calibration,easy,0.8,0.8,1,3.5617339000455104,nan,True,1,1,323,996,12.199492227319952,2622.89082887379,184.80244889618973,215,215,12.199492227319952,2622.89082887379,184.80244889618973,2622.89082887379,2622.8908288737894,16.832252726649997,2622.8908288737894,0.6697674418604651,0.8,hold,,001,
,,2,,001,calibration,easy,0.8,0.8,1,2.3663500999682583,nan,True,0,0,119,177,19.067325320286347,2726.6275208009474,207.50924641418132,143,143,19.067325320286347,2726.6275208009474,207.50924641418132,2726.6275208009474,2726.627520800946,24.09125405444683,2726.627520800946,0.9300699300699301,0.8,hold,,001,
,,3,,001,calibration,easy,0.8,0.8,nan,nan,nan,False,0,timeout,1398,1100,12.354577287366574,3718.727763497339,208.4007360742435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8,timeout,,001,
,,4,,001,calibration,easy,0.8,0.8,0,1.7542958999983966,nan,True,0,1,969,151,10.861109559874267,1151.2776133466723,210.78176920259526,106,106,10.861109559874267,1151.2776133466723,210.78176920259526,1151.2776133466723,1151.2776133466718,18.2344699429319,1151.2776133466718,0.6792452830188679,0.8,up,,001,
