timestamp,frame,mouse_x,mouse_y,mouse_speed,mouse_is_moving,evidence,square_x,circle_x,triangle_x,hexagon_x,square_y,circle_y,triangle_y,hexagon_y,trial_num,phase,n_shapes,target,prop_used
0.00041789980605244637,1,-6.0,-6.0,8.48528137423857,True,7.469897804113896,-289.3035231478581,-296.0118997192409,296.8176680446779,312.1764609816315,158.2299309416394,-154.58704466563518,159.4435291661089,-139.8079063619318,1,calibration,4,circle,0.25
0.011236200109124184,2,-6.0,-6.0,0.0,False,0.0,-275.9035097836819,-290.05536157594975,291.4579352363712,329.056306570706,168.1531783614371,-159.03590649337647,170.65322059560134,-127.78266856912175,1,calibration,4,circle,0.25
0.028210400138050318,3,-6.0,-6.0,0.0,False,0.0,-260.03062369549883,-283.7497743134648,284.9046406362271,346.8958837692442,179.3953663572172,-163.64318109953567,182.06387694854288,-117.34425092452076,1,calibration,4,circle,0.25
0.04482749989256263,4,-6.0,-6.0,0.0,False,0.0,-243.27601866862736,-277.07981396986355,278.0660596698498,365.5981715641085,191.4371818520985,-168.9676289643513,192.25828257331807,-108.68168210818234,1,calibration,4,circle,0.25
0.061461799778044224,5,-6.0,-6.0,0.0,False,0.0,-226.11319814826675,-270.7508597298868,269.9509704498463,385.8145941970263,204.98292064585868,-174.88222437089667,202.2071918720972,-101.88089543747667,1,calibration,4,circle,0.25
0.07802060013636947,6,-6.0,-6.0,0.0,False,0.0,-209.84766227899632,-265.2553383944558,260.1693762179267,389.2180849741308,219.3962144969562,-181.38138551322447,211.44995206384482,-92.24577133435596,1,calibration,4,circle,0.25
0.09467469993978739,7,-6.0,-6.0,0.0,False,0.0,-194.7788062276067,-261.1248948770821,248.35740972958058,391.0101584263066,234.3741313344497,-188.16074748231154,220.3215149895448,-84.32707754591435,1,calibration,4,circle,0.25
0.11125200008973479,8,-6.0,-6.0,0.0,False,0.0,-181.36539699727632,-258.1004861442378,235.43601657124978,392.2648777930736,249.12000612099237,-195.0533003046114,228.05395433835275,-78.28323990475246,1,calibration,4,circle,0.25
0.12831259984523058,9,-6.0,-6.0,0.0,False,0.0,-170.9952527927698,-256.1058189555156,221.0621692843192,393.1932250811739,262.3495378199904,-202.19528518226318,235.0764822487092,-73.47848494808036,1,calibration,4,circle,0.25
0.14457989996299148,10,-6.0,-6.0,0.0,False,0.0,-164.01407526492133,-255.0136694690595,205.09211385528383,393.94923839660197,273.3157562460404,-209.6733254745916,240.475770160889,-69.31087625140253,1,calibration,4,circle,0.25
0.1615140000358224,11,-6.0,-6.0,0.0,False,0.0,-160.0329972079011,-254.5526139547192,186.70515654032943,394.59640022525366,281.6977288697321,-217.73231828903351,244.26632891627366,-65.52618506575404,1,calibration,4,circle,0.25
0.1777472998946905,12,-6.0,-6.0,0.0,False,0.0,-158.23571553559836,-254.37548388588394,165.89748768044038,395.12657278954737,287.66034421654103,-226.2941022555685,246.19194063745113,-62.249429520169734,1,calibration,4,circle,0.25
0.194851899985224,13,-6.0,-6.0,0.0,False,0.0,-158.20048425506027,-254.31033623402837,141.52131044759858,395.5153960493262,292.47321026722955,-235.0917546792067,246.98568797122178,-59.72915107336274,1,calibration,4,circle,0.25
0.21140579972416162,14,-6.0,-6.0,0.0,False,0.0,-160.13796895775457,-254.28690413032626,115.35190341777817,395.7101857150009,296.91944038232464,-243.98393937360518,247.2874561843132,-58.424728680581296,1,calibration,4,circle,0.25
0.22808209992945194,15,-6.0,-6.0,0.0,False,0.0,-165.44638312107813,-254.27857680892,88.77414742507892,395.6318836154404,302.2082148624818,-253.2217927408616,247.39786638814957,-58.95263070379993,1,calibration,4,circle,0.25
0.24472570000216365,16,-6.0,-6.0,0.0,False,0.0,-174.01265705517758,-254.27563702940571,64.50362574383784,395.1928196025689,308.2751667625876,-263.67710233902665,247.43746822534317,-61.82746424180316,1,calibration,4,circle,0.25
0.261495899874717,17,-6.0,-6.0,0.0,False,0.0,-184.61664464041468,-254.2746030631713,42.73381743892675,394.51402198516723,314.6147669702199,-274.98460720104936,246.24837044390458,-66.02034881070404,1,calibration,4,circle,0.25
0.2781785000115633,18,-6.0,-6.0,0.0,False,0.0,-195.5350975424772,-254.27424016630837,22.396649648763578,393.62110511199603,320.1825108165762,-286.67559752203016,243.07591710047257,-71.15072459512261,1,calibration,4,circle,0.25
0.29476699978113174,19,-6.0,-6.0,0.0,False,0.0,-206.67660874899605,-254.27411295067017,3.2192706042897683,392.47264375447276,324.535678939576,-298.0008733170729,237.47672253405344,-77.23486197550129,1,calibration,4,circle,0.25
0.31134899985045195,20,-6.0,-6.0,0.0,False,0.0,-218.59338762602513,-253.76314620394155,-14.545491227813425,390.9262690385111,327.98574685634594,-309.1993946124038,229.91601422584137,-84.7151236535109,1,calibration,4,circle,0.25
0.3279752000235021,21,-6.0,-6.0,0.0,False,0.0,-229.6117513303349,-247.6176020652915,-30.083216888331812,388.9207007008622,327.5338816840426,-314.1425204384707,221.00883612611534,-93.49164971456204,1,calibration,4,circle,0.25
0.34488070011138916,22,-6.0,-6.0,0.0,False,0.0,-237.67440318113634,-241.30962121625478,-43.619937621070676,386.4246461240824,321.73106482354274,-319.0135838933315,210.95151920406101,-103.32469631156783,1,calibration,4,circle,0.25
0.36153759993612766,23,-6.0,-6.0,0.0,False,0.0,-246.45900536355234,-235.24594160392692,-55.77448905640488,383.2850347714248,315.0523110139148,-323.5109688385879,201.01214249383747,-114.42282167586885,1,calibration,4,circle,0.25
