timestamp,frame,mouse_x,mouse_y,mouse_speed,mouse_is_moving,active_motion_time,stim_A_x,stim_A_y,stim_B_x,stim_B_y,evidence,overall_trial_num,trial_in_block,phase,n_shapes,target,prop_used,block_num,control_condition,participant,session,age,gender,handedness
0.00401230005081743,1,-6.0,-65.0,1.0892265574658073,True,0.00014709995593875647,-290.530590325152,0.0,304.8688922743781,-8.412022364197183,0.9798599882121295,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.3306033000117168,2,-4.0,-77.0,4.114978955898676,True,0.32909190002828836,-279.09444342472545,0.0,310.6057406995145,-17.90560136684116,3.624984824606996,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.3373747000005096,3,160.0,-26.0,7.130691587921728,True,0.3354278999613598,-267.1436347800969,0.0,318.673666242324,-26.52153683971968,2.9734760042364283,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.34278720000293106,4,160.0,-26.0,15.455878395027762,True,0.3415303999790922,-254.75998893982793,-0.3832597894929309,328.3959711373653,-32.69305334530121,-0.3663224994026757,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.3602898999815807,5,160.0,-26.0,20.0,True,0.35860120004508644,-242.07849401667772,-1.1689423579534393,338.71302959829256,-37.39550241892455,-1.4879210847992974,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.3763337000273168,6,160.0,-26.0,20.0,True,0.3750914999982342,-229.64674049113057,-2.1491292695816107,348.2942539848362,-40.95484692651723,-1.369819593498638,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.3935186000308022,7,152.0,-12.0,20.0,True,0.3920005999971181,-216.31922974896122,-3.0164940806778,357.6261824854518,-43.56226753263361,-1.0529131744716524,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.41028980002738535,8,130.0,18.0,20.0,True,0.4087173000443727,-202.96064537668363,-3.616561537713197,366.57820397162743,-45.225055385890705,-0.8676627975933915,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.4262231000466272,9,109.0,30.0,16.19717072262083,True,0.4250060999765992,-189.83930340775652,-4.077512997052398,375.32882351572573,-45.55572429919205,-0.021206435681467573,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.44282019999809563,10,84.0,38.0,11.992224274403354,True,0.4415399000281468,-178.19202917800501,-4.2890315776964805,383.6691275368627,-44.1315902739393,1.8027582532472946,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.4594502999680117,11,57.0,39.0,11.557465650490814,True,0.45823139999993145,-167.62633007868524,-4.373100194896982,391.48418859018926,-40.87302441618756,4.6202094546616985,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.4761822000145912,12,31.0,39.0,14.437251079857754,True,0.47496589994989336,-158.03138729622682,-4.404531633712172,398.3205253887204,-36.61637685590663,6.556564915440729,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.49289480003062636,13,2.0,31.0,18.191011586351358,True,0.4916818999918178,-149.66116980789775,-4.415934121856492,398.7391964870235,-31.734101293133516,6.140995253422239,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.5095961999613792,14,-21.0,21.0,20.0,True,0.5083227000432089,-141.99241323653277,-4.420005289618804,399.0421430878255,-27.665285826743663,3.802851695176259,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.5270925000077114,15,-39.0,9.0,20.0,True,0.5252732000080869,-134.81535929365546,-4.421446257717974,399.2965860235681,-23.71152441162858,2.641532249583658,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.543317100033164,16,-66.0,-22.0,20.0,True,0.5418478000210598,-127.95545447963208,-4.421953808429155,399.54437398867776,-19.086466776111532,2.640948324622323,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.5598925000522286,17,-84.0,-48.0,20.0,True,0.5584644000045955,-121.61882229197721,-4.32631714618013,399.79301966675854,-12.866290286436234,2.777498702900758,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.5765092000365257,18,-95.0,-75.0,20.0,True,0.5751115999883041,-115.73941950455169,-3.9862366112736853,399.9657991208397,-5.230634151624468,1.8670940779529888,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.5931373999919742,19,-99.0,-102.0,20.0,True,0.5917473000008613,-109.97904885603329,-3.230997199193176,399.9833673395531,3.647718699692269,0.09720706319037653,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.6096660000039265,20,-106.0,-145.0,20.0,True,0.6083104000426829,-103.29399035216542,-1.7854567388867872,399.80413047650063,12.516279556212401,-2.3870962070008117,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.6266411000397056,21,-107.0,-173.0,20.0,True,0.6253127000527456,-95.90039138338535,0.3939479660345824,399.4537061172664,20.8982456005432,-4.226584332275369,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.6432585000293329,22,-107.0,-201.0,20.0,True,0.6418345000129193,-87.89437846665838,3.0244718794916126,398.963477995915,28.77747774567974,-5.752907295408871,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.6597947999835014,23,-103.0,-239.0,20.0,True,0.6583772000158206,-80.17602539534387,5.7559259131469735,398.2551642900746,37.32055889567673,-7.518901620508807,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.6770207999506965,24,-92.0,-277.0,20.0,True,0.6754970999900252,-72.08386453112304,8.990387905180086,397.2961185866621,46.43053042958861,-9.05582055211264,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
0.6940991999581456,25,-72.0,-307.0,20.0,True,0.6921725999563932,-62.999453612639016,13.452588639639403,396.067600873711,55.95047397603295,-9.960011884171847,1,1,calibration,2,dot,0.347354013008391,0,calibration,99,001,55,f,r
