thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,stimulus_logit,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,difficulty_level,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,mem_item_num,mem_filename,mem_ground_truth,mem_response,mem_accuracy,mem_rt,mem_trigger_onset,mem_trigger_resp,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,1,SIM,001,calibration,2,0,1,0.347354013008391,-0.6306903787402434,0,False,1.631346800015308,False,dot,square,0,0,0.7868489501376656,0.19736710351561673,32.56557208007676,19.974494858729283,1411,[np.int64(472)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.7868489501376656,,,
,,2,SIM,001,calibration,2,0,2,0.5350820483873121,0.14055915473515587,1,False,3.4538981999794487,False,dot,dot,0,0,0.7680685877645114,2.4670009679969347,444.06017423944826,7.867814870082144,932,[np.int64(1309)],-0.06239143700573463,3.2968115039161887,2.0738354920765576,0.02633574150448608,0.02160265882743015,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.7680685877645114,,,
,,3,SIM,001,calibration,2,0,3,0.5350820483873121,0.14055915473515587,0,False,2.615391200000886,False,dot,square,0,0,0.6810044062069017,3.222911964913144,580.1241536843659,13.299963970651309,19,[np.int64(69)],0.40513297766447653,3.213100821515287,2.035962171544374,0.02756695397055095,0.021800856182433936,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.6810044062069017,,,
,,4,SIM,001,calibration,2,0,4,0.5981210736084265,0.3976423325602886,0,False,3.8447868999792263,False,dot,square,0,0,0.5940474498864532,2.9834548065612108,537.0218651810179,11.666292410790184,190,[np.int64(952)],0.7446903634961866,3.2053705435700293,2.0303987123763823,0.028467662327213396,0.021915706799112325,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.5940474498864532,,,
,,5,SIM,001,calibration,2,0,5,0.7133701336716126,0.9118086882105548,1,False,4.196559100004379,False,dot,dot,0,0,0.5780516022429686,3.397898393232089,611.6217107817761,10.947482520814104,1450,[np.int64(1256)],0.6503299802906114,3.229238226386167,2.0415524268574794,0.028108752537503494,0.02187024947643845,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.5780516022429686,,,
,,6,SIM,001,calibration,2,0,6,0.7133701336716126,0.9118086882105548,0,False,2.122140000021318,False,square,dot,0,0,0.5361369753747007,3.595007808673246,647.1014055611843,13.3451631636981,1151,[np.int64(41)],0.9767044972393164,3.087538026689216,1.9696327984107813,0.029549433089759502,0.022010134412657,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.5361369753747007,,,
,,7,SIM,001,calibration,2,0,7,0.7629446568996856,1.1688918660356877,1,False,2.242023099999642,False,square,square,0,0,0.5247998787389283,3.6389872795583855,655.0177103205094,10.9766549905434,139,[np.int64(554)],0.8981768022760511,3.1143573052499596,1.982952709252267,0.02918255217522816,0.021976807355562487,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.5247998787389283,,,
,,8,SIM,001,calibration,2,0,8,0.7133701336716126,0.9118086882105548,0,False,1.5966230999911204,False,dot,square,0,0,0.4720325950314118,3.890637321897547,676.9708940101732,13.924838827855295,1513,[np.int64(662)],1.1304396910131302,3.1029879466420263,1.9756318948218738,0.030121584850966387,0.022045491409270274,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.4720325950314118,,,
,,9,SIM,001,calibration,2,0,9,0.7629446568996856,1.1688918660356877,0,False,2.1953686000197195,False,dot,square,0,0,0.42799177257994186,3.5070237803987894,592.6870188873954,10.691563278408497,365,[np.int64(1025)],1.3330886356857112,3.0785893759744987,1.9605266747788344,0.031108680529066585,0.022086060118253387,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.42799177257994186,,,
,,10,SIM,001,calibration,2,0,10,0.806273406195118,1.4259750438608214,0,False,2.363441099994816,False,dot,square,0,0,0.38670863863198346,3.5120759360960676,628.6615925611961,10.228180692319905,870,[np.int64(650)],1.5145489380731478,3.0273290631725387,1.931292470898561,0.0322007888599699,0.02209283930132554,,,,,,,,,,,,,,,,,,SIM,001,26,f,r,,0.38670863863198346,,,
