thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,participant,session,block_order,
,,1,,001,calibration,4,1,1,0.25,0,False,10.346579700009897,False,circle,triangle,0,0,0,0,0.3,3.8645199899564795,699.4781181821228,291.5790632374404,,001,4shape_first,
,,2,,001,calibration,4,1,2,0.3,1,False,1.2392730000428855,False,square,square,0,0,1,0,0.3,6.2792273892890815,1136.5401574613238,290.7851721855136,,001,4shape_first,
,,3,,001,calibration,4,1,3,0.3,1,False,1.4863063000375405,False,square,square,0,0,2,0,0.3,5.7577143443126015,1042.1462963205809,194.00511832863677,,001,4shape_first,
,,4,,001,calibration,4,1,4,0.3,0,False,2.2169790999032557,False,triangle,square,0,0,0,0,0.35,7.550742660678036,1351.5829362613686,206.15463008999916,,001,4shape_first,
,,5,,001,calibration,4,1,5,0.35,0,False,24.183781199972145,False,circle,square,0,0,0,0,0.39999999999999997,6.870661908222118,1243.5898053882033,118.29411254844506,,001,4shape_first,
,,6,,001,calibration,4,1,6,0.39999999999999997,1,False,0.8621615000301972,False,square,square,0,0,1,0,0.39999999999999997,9.489084163870983,1717.5242336606477,221.59155094055646,,001,4shape_first,
