thisRow.t,notes,trial_num,participant,session,phase,complexity,prop_used,control_level,accuracy,rt_choice,agency_rating,early_response,true_shape,resp_shape,target_snippet_id,distractor_snippet_id,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,staircase_prop,staircase_direction,participant,session,
,,1,,001,calibration,easy,0.8,0.8,nan,nan,nan,False,1,timeout,982,19,15.825440907960454,4763.457713296097,220.6404410622072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8,timeout,,001,
,,2,,001,calibration,easy,0.8,0.8,1,4.055584100016858,nan,True,0,0,1587,621,11.854078924079205,2892.395257475326,216.4266911434663,244,244,11.854078924079205,2892.395257475326,216.4266911434663,2892.395257475326,2892.395257475326,-1.5853419859289697,2892.395257475326,0.6147540983606558,0.8,hold,,001,
,,3,,001,calibration,easy,0.8,0.8,1,1.3875973999965936,nan,True,0,0,1589,530,16.729424890105307,1405.2716907688457,194.3914985044985,84,84,16.729424890105307,1405.2716907688457,194.3914985044985,1405.2716907688457,1405.2716907688457,19.993597668405545,1405.2716907688457,0.7857142857142857,0.8,hold,,001,
,,4,,001,calibration,easy,0.8,0.8,0,3.5708790000062436,nan,True,1,0,712,823,13.341931194666659,2868.5152068533316,214.2390438112297,215,215,13.341931194666659,2868.5152068533316,214.2390438112297,2868.5152068533316,2868.5383011545005,37.645409549710955,2868.5383011545005,0.7069767441860465,0.8,up,,001,
