thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,difficulty_level,threshold_75,level_1_prop,level_2_prop,level_3_prop,level_4_prop,confidence_rating,agency_rating,participant,session,block_order,threshold_75_2shape,staircase_reversals_2shape,
,,22,1996,001,test,2,1,,0.62875,1,False,0.6398129002191126,False,square,square,0,0,,,,7.980430134578452,1444.4578543586997,152.1876959846951,672,[np.int64(949)],level_4,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,1,4,1996,001,2shape_first,0.46875,4,
,,23,1996,001,test,2,1,,0.30874999999999997,0,False,1.9830803000368178,False,square,dot,0,0,,,,5.6429312205012,1021.3705509107173,368.51303320976814,1409,[np.int64(32)],level_1,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,3,1996,001,2shape_first,0.46875,4,
,,24,1996,001,test,2,1,,0.54875,1,False,0.4191807000897825,False,dot,dot,0,0,,,,16.056656704783226,2906.2548635657636,216.2514785610629,387,[np.int64(1030)],level_3,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,2,2,1996,001,2shape_first,0.46875,4,
,,25,1996,001,test,2,1,,0.30874999999999997,1,False,49.13652539998293,False,dot,dot,0,0,,,,5.356544506506207,969.5345556776235,283.0399693859029,12,[np.int64(632)],level_1,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,3,1996,001,2shape_first,0.46875,4,
,,26,1996,001,test,2,1,,0.38875,1,False,1.0307398000732064,False,square,square,0,0,,,,6.02338933817348,1090.2334702094,225.23307991757972,671,[np.int64(1270)],level_2,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,4,1996,001,2shape_first,0.46875,4,
,,27,1996,001,test,2,1,,0.54875,1,False,2.1707961997017264,False,dot,dot,0,0,,,,14.63620384612969,2649.152896149474,204.7957435846947,1473,[np.int64(684)],level_3,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,4,4,1996,001,2shape_first,0.46875,4,
,,28,1996,001,test,2,1,,0.38875,1,False,0.478861500043422,False,square,square,0,0,,,,10.601429985518891,1918.8588273789192,262.7895065192818,287,[np.int64(754)],level_2,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,1,1996,001,2shape_first,0.46875,4,
,,29,1996,001,test,2,1,,0.38875,1,False,2.33813379984349,False,square,square,0,0,,,,4.926489251485345,891.6945545188473,238.06212476681944,696,[np.int64(1069)],level_2,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,2,4,1996,001,2shape_first,0.46875,4,
,,30,1996,001,test,2,1,,0.62875,1,False,0.5690152999013662,False,dot,dot,0,0,,,,8.055117253059974,1457.9762228038553,150.50202941600827,814,[np.int64(1218)],level_4,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,3,1996,001,2shape_first,0.46875,4,
,,31,1996,001,test,2,1,,0.54875,0,False,1.4608871000818908,False,dot,square,0,0,,,,8.069705307207828,1460.616660604617,174.6821399387241,687,[np.int64(1464)],level_3,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,4,4,1996,001,2shape_first,0.46875,4,
,,32,1996,001,test,2,1,,0.30874999999999997,0,False,4.259697699919343,False,dot,square,0,0,,,,5.443117896012402,985.2043391782448,139.7656272084061,524,[np.int64(549)],level_1,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,4,2,1996,001,2shape_first,0.46875,4,
,,33,1996,001,test,2,1,,0.54875,1,False,2.9308221000246704,False,dot,dot,0,0,,,,10.857430491400072,1965.1949189434129,169.28699959402198,640,[np.int64(469)],level_3,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,2,2,1996,001,2shape_first,0.46875,4,
,,34,1996,001,test,2,1,,0.30874999999999997,0,False,0.6554743000306189,False,square,dot,0,0,,,,3.9590510798415397,716.5882454513187,257.06820715637735,898,[np.int64(1280)],level_1,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,3,1996,001,2shape_first,0.46875,4,
,,35,1996,001,test,2,1,,0.38875,0,False,0.6518634003587067,False,dot,square,0,0,,,,9.22428608187723,1669.5957808197786,205.08654851458522,1193,[np.int64(187)],level_2,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,3,4,1996,001,2shape_first,0.46875,4,
,,36,1996,001,test,2,1,,0.62875,1,False,0.7582319001667202,False,dot,dot,0,0,,,,10.747066112190959,1945.2189663065635,172.0155490635241,494,[np.int64(1113)],level_4,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,4,2,1996,001,2shape_first,0.46875,4,
,,37,1996,001,test,2,1,,0.62875,0,False,844.8036340996623,False,dot,square,0,0,,,,8.954263629678728,1620.7217169718497,155.88596014129843,407,[np.int64(777)],level_4,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,1,2,1996,001,2shape_first,0.46875,4,
,,38,1996,001,test,2,1,,0.38875,1,False,0.9316348000429571,False,square,square,0,0,,,,5.85742048243832,1060.193107321336,174.021010462705,1201,[np.int64(1189)],level_2,0.46875,0.30874999999999997,0.38875,0.54875,0.62875,1,2,1996,001,2shape_first,0.46875,4,
