timestamp,frame,mouse_x,mouse_y,mouse_speed,mouse_is_moving,square_x,square_y,dot_x,dot_y,evidence,trial_num,phase,n_shapes,target,prop_used
0.00042850011959671974,1,2.0,0.0,2.0,True,310.90344975061737,-5.81801504366706,-295.81198966614204,-0.20751204600204712,0.23303451506199724,1,calibration,2,dot,0.25
0.012696499936282635,2,2.0,0.0,0.0,False,334.3822979741411,-18.11233470231783,-285.27582386582714,-0.7283265928307147,0.0,1,calibration,2,dot,0.25
0.02966060023754835,3,2.0,0.0,0.0,False,359.1009878796223,-31.551049658204096,-273.5324565643742,-1.0002487503663384,0.0,1,calibration,2,dot,0.25
0.04614360025152564,4,4.0,0.0,2.0,True,380.9933401634677,-44.59454230156254,-263.6524131070998,-1.0986699845180594,0.28174048446657185,1,calibration,2,dot,0.25
0.06307030003517866,5,4.0,0.0,0.0,False,396.0132427323182,-56.333929213521024,-251.78942355126227,-1.1389047392492146,0.0,1,calibration,2,dot,0.25
0.07969720009714365,6,4.0,0.0,0.0,False,394.65107885780105,-65.19605782847408,-239.29158368361274,-0.5194016390132911,0.0,1,calibration,2,dot,0.25
0.096252900082618,7,4.0,0.0,0.0,False,393.27155741356626,-73.05807367778068,-225.94863964241858,1.410998321316245,0.0,1,calibration,2,dot,0.25
0.11294900020584464,8,4.0,0.0,0.0,False,391.80660088581254,-80.54556165491438,-211.97374691795255,5.285695362744449,0.0,1,calibration,2,dot,0.25
0.12957420013844967,9,4.0,0.0,0.0,False,390.4985622067508,-86.66529244432476,-198.13360152913344,11.407478476465245,0.0,1,calibration,2,dot,0.25
0.14627239992842078,10,4.0,0.0,0.0,False,389.3002148221308,-91.8985459049426,-185.25812722134575,19.369591318042076,0.0,1,calibration,2,dot,0.25
0.16304410016164184,11,4.0,0.0,0.0,False,388.1680376134868,-96.56901457141782,-173.75011333322664,30.196608126546124,0.0,1,calibration,2,dot,0.25
0.17960810009390116,12,4.0,0.0,0.0,False,386.8733576857228,-101.6317131262423,-164.1961611581479,42.25891812626108,0.0,1,calibration,2,dot,0.25
0.19652310013771057,13,4.0,0.0,0.0,False,385.2126338454979,-107.75540230454506,-157.31386797305777,55.01167701310627,0.0,1,calibration,2,dot,0.25
0.2135851001366973,14,4.0,0.0,0.0,False,383.10714278701465,-115.0170298067638,-153.13947882526796,66.36506498729517,0.0,1,calibration,2,dot,0.25
0.229844500310719,15,4.0,0.0,0.0,False,380.788102086765,-122.47620711452268,-150.9021634976416,77.00625799224855,0.0,1,calibration,2,dot,0.25
0.24658269993960857,16,4.0,0.0,0.0,False,378.6217673652932,-129.017662655862,-149.75226639814323,87.35369972800835,0.0,1,calibration,2,dot,0.25
0.2631777999922633,17,4.0,0.0,0.0,False,375.04604046635006,-133.2706568302705,-149.27643506635297,98.11838418768102,0.0,1,calibration,2,dot,0.25
0.27957830019295216,18,4.0,0.0,0.0,False,368.46271985357504,-135.4661706251638,-149.83575381460525,109.1331147343493,0.0,1,calibration,2,dot,0.25
0.2964663002640009,19,4.0,0.0,0.0,False,358.80791196693167,-136.37599362014655,-151.55196323208875,119.5156304544193,0.0,1,calibration,2,dot,0.25
0.3129874002188444,20,4.0,0.0,0.0,False,345.7319030695701,-136.7227103017445,-154.8899065602922,128.68660115517392,0.0,1,calibration,2,dot,0.25
0.32962110033258796,21,4.0,0.0,0.0,False,329.50386187779225,-136.3926781446078,-159.77935437631746,136.70652485904412,0.0,1,calibration,2,dot,0.25
0.3461128999479115,22,4.0,0.0,0.0,False,311.324648272469,-135.72985156810398,-166.14914147066634,144.49555223045368,0.0,1,calibration,2,dot,0.25
0.3629838000051677,23,4.0,0.0,0.0,False,292.29293210030494,-134.7028411184763,-173.3303003087702,152.02657899914266,0.0,1,calibration,2,dot,0.25
0.37966480012983084,24,8.0,-3.0,5.0,True,273.7287393494684,-133.72734450916954,-179.6430001870983,157.4364400640442,-0.837517512461462,1,calibration,2,dot,0.25
0.39625840028747916,25,13.0,-5.0,5.385164807134504,True,256.16691774359106,-132.4628943413829,-186.89090299197255,161.67826280389258,-0.19478249098055464,1,calibration,2,dot,0.25
0.4130314001813531,26,18.0,-6.0,5.0990195135927845,True,239.00941394735665,-130.8073943864265,-196.0534449915264,164.76271765304253,0.01518553388219768,1,calibration,2,dot,0.25
0.42956910002976656,27,24.0,-17.0,12.529964086141668,True,221.889859285687,-128.9570437976203,-205.92423150217735,164.19092591052245,1.7934773150463759,1,calibration,2,dot,0.25
0.4463284001685679,28,33.0,-28.0,14.212670403551895,True,205.44843248490315,-127.14115852589026,-216.55198468484372,162.23052861269593,3.2978791267869454,1,calibration,2,dot,0.25
0.4629633999429643,29,46.0,-42.0,19.1049731745428,True,190.97695509647065,-125.58638808410507,-227.51189230917078,159.16233552086774,5.676577541291201,1,calibration,2,dot,0.25
0.4792885002680123,30,63.0,-58.0,20.0,True,178.56981805989463,-123.94429886541073,-239.36212564978322,155.85059833519014,5.89938573930138,1,calibration,2,dot,0.25
0.495949300006032,31,85.0,-60.0,20.0,True,167.0459120773834,-121.77886755895348,-250.7174944581067,154.7619411528139,0.25551189919636563,1,calibration,2,dot,0.25
0.5126642999239266,32,108.0,-59.0,20.0,True,155.97753903056955,-118.303373293285,-262.5765407119773,154.37812888259546,-1.1956164360157762,1,calibration,2,dot,0.25
0.5299370000138879,33,136.0,-28.0,20.0,True,145.3264022857881,-113.22990090146025,-276.14610065346494,156.4367510236935,-5.307670698482355,1,calibration,2,dot,0.25
